ndc,order_id,vendor_name,order_date,received_date,quantity_ordered,quantity_received,program_flag
50620-7168-45,OR000001,King-Christensen,2025-05-01,2025-05-28,239,303,GPO
32455-7548-78,OR000002,Phelps LLC,2025-05-19,2025-05-19,208,312,GPO
90405-1663-24,OR000003,White-Robinson,2025-05-12,2025-05-08,164,322,WAC
99135-7915-16,OR000004,Rogers Group,2025-05-04,2025-05-25,403,433,WAC
50159-2276-84,OR000005,"Neal, Castillo and Morton",2025-05-12,2025-05-03,475,347,WAC
90071-7095-67,OR000006,"Gonzalez, Bryant and Stewart",2025-05-08,2025-05-27,266,173,GPO
26439-2193-41,OR000007,"Phillips, Woods and Johnson",2025-05-08,2025-05-24,213,287,WAC
25380-6041-99,OR000008,Pope-Reyes,2025-05-11,2025-05-12,374,470,WAC
83206-6745-16,OR000009,Day LLC,2025-05-10,2025-05-08,164,406,GPO
60885-8402-20,OR000010,Miller LLC,2025-05-28,2025-05-16,388,235,340B
82723-2694-56,OR000011,Ewing and Sons,2025-05-19,2025-05-14,222,168,WAC
91915-2087-53,OR000012,Crawford-Ochoa,2025-05-10,2025-05-23,215,411,340B
33751-2823-76,OR000013,Wong Group,2025-05-15,2025-05-04,321,456,GPO
97999-4436-64,OR000014,"Garner, Mason and Lopez",2025-05-09,2025-05-19,351,126,GPO
70312-8718-29,OR000015,"Walker, Evans and Myers",2025-05-22,2025-05-13,127,176,WAC
76846-4106-13,OR000016,Hill Group,2025-05-23,2025-05-16,215,138,GPO
26803-2029-19,OR000017,Thomas-Gray,2025-05-15,2025-05-18,359,216,340B
51810-3092-81,OR000018,"Sullivan, Tucker and Swanson",2025-05-25,2025-05-18,481,322,WAC
48784-6895-79,OR000019,Williams-Potter,2025-05-04,2025-05-28,235,253,WAC
58041-2793-40,OR000020,"Johnson, Williams and Carter",2025-05-16,2025-05-28,489,404,WAC
46843-7902-81,OR000021,Green-Hudson,2025-05-12,2025-05-14,295,397,WAC
90108-6783-28,OR000022,"Garner, Randolph and Holloway",2025-05-01,2025-05-26,254,181,GPO
71307-2488-64,OR000023,"Valentine, Banks and Hall",2025-05-22,2025-05-13,197,397,GPO
66656-8333-60,OR000024,Johnson LLC,2025-05-05,2025-05-03,346,492,GPO
89460-7841-12,OR000025,Berry-Lopez,2025-05-22,2025-05-13,426,270,340B
55708-1368-13,OR000026,Rodriguez Ltd,2025-05-23,2025-05-10,375,149,GPO
10783-5396-38,OR000027,"Walker, Murphy and Whitney",2025-05-14,2025-05-09,303,221,340B
58995-2412-94,OR000028,"Reese, Mcclure and Keller",2025-05-07,2025-05-03,174,146,WAC
41481-8294-59,OR000029,King PLC,2025-05-11,2025-05-01,285,342,WAC
